slide_id,certainty_score
BRACS_1506,-488.6221979178797
BRACS_1610,-392.3587216408149
BRACS_1814,-390.6855230504402
BRACS_1797,-382.8857161656158
BRACS_1486,-372.7559508449667
BRACS_1003728,-369.04145376326363
BRACS_1844,-368.7111112877944
BRACS_1794,-363.61585403458093
BRACS_1503,-332.130144044517
BRACS_1494,-325.741603916446
BRACS_1867,-320.49291730314127
BRACS_759,-315.38900191448033
BRACS_1856,-313.10327862725205
BRACS_1799,-310.32305451415874
BRACS_1597,-296.6941627042077
BRACS_1653,-290.5864809191174
BRACS_1913,-288.5738945591003
BRACS_1270,-286.2525466930681
BRACS_1271,-285.31543385534707
BRACS_1588,-278.8467093967619
BRACS_1937,-274.8507096141601
BRACS_1386,-271.3351560013942
BRACS_1953,-255.58353725147043
BRACS_1362,-243.78044957551103
BRACS_3285,-239.22577605280193
BRACS_1914,-232.3149361594869
BRACS_3314,-230.0547711881891
BRACS_300,-220.0648656648141
BRACS_1969,-218.07321069174006
BRACS_1877,-214.4938773003
BRACS_1269,-205.72073986659996
BRACS_1824,-204.24160738452773
BRACS_1948,-197.47389787681914
BRACS_1622,-196.4092971171469
BRACS_1883,-184.93870100171046
BRACS_1616,-183.95348556067006
BRACS_1926,-177.74748210436897
BRACS_1473,-176.08405357575003
BRACS_1003694,-174.53559448770602
BRACS_1813,-174.17072963954
BRACS_1607,-173.87585580574535
BRACS_1925,-173.83983449133095
BRACS_1968,-168.54449660589992
BRACS_1955,-168.18969733400016
BRACS_1773,-166.6697539949
BRACS_1977,-165.68385651464013
BRACS_1835,-165.3648775202883
BRACS_1510,-163.12629347361792
BRACS_1788,-162.21785577184392
BRACS_265,-161.443993565428
BRACS_1878,-161.1591011698912
BRACS_1984,-160.4944303101163
BRACS_3318,-160.32319634099994
BRACS_1861,-155.02413177749983
BRACS_1825,-154.75973788260006
BRACS_1935,-152.7748052953001
BRACS_1795,-152.24836730200008
BRACS_1975,-149.31801770860397
BRACS_1899,-148.83920339256997
BRACS_1872,-148.10294352116696
BRACS_1228,-147.04414838149998
BRACS_1778,-145.83845014893998
BRACS_743,-144.95949479761993
BRACS_1893,-144.49084544474792
BRACS_1416,-143.94671394325562
BRACS_1927,-143.68829571670014
BRACS_1938,-142.13016992070004
BRACS_1480,-141.27982497040531
BRACS_1947,-140.2263462204234
BRACS_1808,-139.64317178830706
BRACS_1943,-139.11881640147502
BRACS_1945,-139.1004476658231
BRACS_1858,-132.65092152664997
BRACS_1888,-129.28821233225
BRACS_1798,-125.75142812068498
BRACS_1881,-125.2216836291399
BRACS_1999,-123.54398192550099
BRACS_1238,-122.27474156870451
BRACS_1873,-120.44001619876894
BRACS_1816,-119.799476590225
BRACS_1507,-118.60509012891997
BRACS_1864,-117.95891575609994
BRACS_1903,-117.45756772558502
BRACS_1944,-116.03853619399999
BRACS_1003673,-112.26489637007813
BRACS_1840,-106.82050255152
BRACS_1849,-106.55480952800004
BRACS_1912,-105.57420343829999
BRACS_1871,-105.31704585540001
BRACS_1251,-104.65795781413696
BRACS_1596,-103.88495634100002
BRACS_1283,-103.74060963484976
BRACS_3266,-102.87542739899997
BRACS_1862,-100.11335748699999
BRACS_1934,-100.04152610690001
BRACS_1514,-99.77139115930001
BRACS_1495,-98.31869789566699
BRACS_1995,-97.80918215534996
BRACS_1003697,-95.40518205320004
BRACS_1865,-91.84720877550002
BRACS_1915,-90.26747368326001
BRACS_1855,-89.88033533050974
BRACS_1918,-89.59330194087093
