slide_id,certainty_score
patient_068_node_0,-363.0347290939995
patient_035_node_4,-318.1177978249999
patient_035_node_0,-307.73515325399967
patient_062_node_2,-275.10762780899995
patient_024_node_4,-272.4429397530002
patient_028_node_4,-271.24821474899994
patient_062_node_0,-268.81445313300003
patient_044_node_1,-251.21774293149988
patient_002_node_4,-245.26206974070016
patient_064_node_3,-242.49829107000014
patient_048_node_1,-241.3663864204
patient_023_node_2,-240.82543942900003
patient_037_node_4,-235.72280881599983
patient_083_node_0,-224.83158104300003
patient_028_node_2,-201.98394785999997
patient_038_node_1,-188.354980506
patient_045_node_2,-184.53408733026583
patient_040_node_0,-183.07082367699996
patient_021_node_3,-182.785156247
patient_068_node_2,-181.4052429090001
patient_064_node_2,-181.210052505
patient_021_node_2,-180.489288439
patient_045_node_0,-180.22406282277498
patient_062_node_1,-176.66065215400013
patient_026_node_4,-174.66688541399995
patient_089_node_4,-174.090454036
patient_026_node_2,-173.48200991800016
patient_007_node_2,-171.27947999000003
patient_025_node_4,-169.54084778799984
patient_003_node_3,-169.30426030000004
patient_069_node_3,-167.57817083300006
patient_071_node_0,-165.482452364
patient_024_node_0,-164.11672977400005
patient_002_node_2,-163.63012698499992
patient_031_node_4,-162.78700254599994
patient_050_node_0,-160.8973999500001
patient_001_node_1,-160.57568354800003
patient_031_node_2,-160.4952392
patient_040_node_3,-160.44902397297994
patient_003_node_0,-158.94012454900007
patient_041_node_4,-157.58902121724003
patient_096_node_2,-156.8537902249999
patient_000_node_1,-156.23632817399996
patient_088_node_0,-155.97700024020008
patient_044_node_0,-155.28359981500003
patient_048_node_0,-154.07378217273
patient_087_node_1,-153.65129511989994
patient_005_node_0,-150.63267513800002
patient_046_node_3,-149.0678424861
patient_011_node_0,-148.68289182999996
patient_038_node_4,-148.45268245800003
patient_060_node_4,-146.22595214400005
patient_081_node_1,-145.652656532
patient_089_node_3,-144.24243168400005
patient_036_node_0,-143.85949697999996
patient_031_node_0,-143.26713557800002
patient_009_node_2,-143.24700921000002
patient_008_node_0,-141.21350105999997
patient_092_node_2,-139.52719874459999
patient_042_node_0,-137.77143852300006
patient_042_node_2,-136.16852571200002
patient_067_node_4,-135.94122316599993
patient_002_node_1,-134.13031007499995
patient_060_node_0,-132.648559565
patient_047_node_4,-130.71095276499986
patient_061_node_4,-130.05926515
patient_030_node_3,-126.73721316100001
patient_085_node_0,-122.76599122799999
patient_096_node_0,-122.425567604
patient_030_node_4,-121.37664807000002
patient_042_node_3,-120.6906432500001
patient_074_node_4,-116.80828856800008
patient_074_node_2,-115.6875000300001
patient_030_node_2,-114.75872805000002
patient_050_node_1,-113.07745357100002
patient_098_node_0,-112.59307864000004
patient_038_node_3,-107.80480965999998
patient_085_node_3,-105.86657714999997
patient_009_node_0,-100.944824154
patient_095_node_1,-100.42275991669997
patient_087_node_3,-96.54398727930003
patient_041_node_3,-94.924873392
patient_041_node_1,-94.2013741158
patient_005_node_4,-93.24938967599998
patient_062_node_4,-93.21908567899997
patient_024_node_3,-93.21466065500003
patient_068_node_3,-92.85116580299999
patient_045_node_1,-92.50677872440001
patient_068_node_4,-91.39564512399998
patient_086_node_4,-91.29421999100003
patient_005_node_2,-91.22534181599997
patient_063_node_1,-91.00228120199998
patient_087_node_0,-90.801498377
patient_006_node_4,-90.787261951
patient_064_node_4,-90.76736451799997
patient_004_node_1,-90.32711797099999
patient_069_node_2,-90.144515986
patient_006_node_2,-89.64686581299999
patient_004_node_4,-89.41024778200001
patient_040_node_1,-89.23332218149999
patient_047_node_3,-89.14461140070006
patient_004_node_0,-88.84030152400001
patient_021_node_1,-88.79203792800001
patient_044_node_4,-88.7028846939
patient_088_node_1,-88.28524495900001
patient_071_node_2,-88.00799564500001
patient_019_node_1,-87.39224243999999
patient_063_node_2,-87.164291392
patient_051_node_4,-87.13181689449998
patient_071_node_3,-87.01214602800002
patient_044_node_2,-86.91126153749997
patient_063_node_0,-86.79418942799997
patient_035_node_1,-86.179321278
patient_044_node_3,-85.60135650449998
patient_000_node_2,-85.50225831499998
patient_047_node_0,-85.2916983997
patient_081_node_3,-85.0890654955
patient_049_node_4,-84.72961520280003
patient_003_node_1,-84.53906252499992
patient_023_node_1,-84.33143622000001
patient_078_node_4,-84.19607545300003
patient_081_node_4,-83.988266836379
patient_042_node_1,-83.52050780200001
patient_079_node_4,-83.49478145699999
patient_079_node_0,-83.14477539399996
patient_092_node_1,-83.03585816699999
patient_048_node_3,-82.63333132600002
patient_002_node_3,-81.95489499599996
patient_078_node_2,-81.95407106300001
patient_000_node_4,-81.53601074000002
patient_052_node_2,-81.16313500984997
patient_049_node_0,-81.13252640044001
patient_037_node_2,-81.05810549300001
patient_001_node_3,-80.95098875499998
patient_088_node_4,-80.82028198500002
patient_093_node_3,-80.50450136700006
patient_002_node_0,-80.152526826
patient_095_node_4,-79.95772311780001
patient_032_node_1,-79.32131953400001
patient_023_node_4,-79.07214353999997
patient_099_node_3,-78.83525844
patient_050_node_4,-78.77064370934997
patient_026_node_0,-78.2992935335
patient_041_node_0,-78.19465161480002
patient_081_node_2,-78.173004178
patient_028_node_1,-78.16119382499998
patient_026_node_1,-77.88531492599999
patient_003_node_2,-77.55541994999997
patient_006_node_1,-77.178283712
patient_001_node_0,-76.64160152000002
patient_035_node_2,-76.17169189599998
patient_042_node_4,-75.98694611100002
patient_064_node_1,-75.96897887500003
patient_063_node_3,-75.180023103
patient_086_node_0,-74.656112679
patient_091_node_4,-73.99720006575
patient_023_node_3,-73.62426755100002
patient_093_node_4,-73.45303351499994
patient_062_node_3,-72.71011353099998
patient_078_node_1,-72.63146973999997
patient_038_node_2,-72.60559084000002
patient_060_node_2,-71.44390871000002
patient_027_node_1,-70.91401670399998
patient_071_node_1,-70.765380898
patient_051_node_0,-70.6618251532
patient_061_node_0,-70.390625043
patient_032_node_0,-70.24792478500002
patient_047_node_1,-70.10725402900002
patient_030_node_0,-68.9141846
patient_052_node_4,-68.78137964499999
patient_089_node_0,-68.68151845500003
patient_083_node_4,-68.13777158600001
patient_040_node_4,-67.803833054
patient_069_node_0,-67.374359176
patient_061_node_1,-66.68139653600002
patient_025_node_3,-66.55871583999999
patient_067_node_1,-66.19195551000003
patient_008_node_3,-65.53613277999997
patient_010_node_4,-65.18017574999996
patient_078_node_0,-65.05218507500001
patient_025_node_1,-64.39422609399999
patient_094_node_4,-64.316711461
patient_027_node_0,-62.36804196999999
patient_032_node_2,-61.69702155
patient_069_node_1,-61.66445932800002
patient_099_node_0,-61.58871455900002
patient_027_node_4,-61.24255371999999
patient_061_node_2,-60.76635744499999
patient_009_node_1,-60.25640866
patient_008_node_1,-59.795776309999994
patient_032_node_4,-59.72729493
patient_083_node_1,-59.38171377000001
patient_092_node_3,-59.336425817999995
patient_060_node_1,-59.25396722999999
patient_034_node_1,-58.63116455200001
patient_011_node_1,-58.42041017999999
patient_052_node_0,-58.2513770981
patient_011_node_2,-57.848266620000025
patient_027_node_3,-57.30816655000001
patient_090_node_0,-57.217468240000024
patient_091_node_0,-56.844238335
patient_084_node_0,-56.74620048150001
patient_085_node_2,-54.03815363333999
patient_089_node_1,-53.99188237300002
patient_049_node_2,-51.860984722999994
patient_010_node_1,-51.50488280999999
patient_046_node_1,-51.27975454100002
patient_067_node_3,-51.24035641000003
patient_083_node_2,-49.516845700000005
patient_095_node_2,-48.53273007500003
patient_084_node_4,-44.53067016599999
patient_084_node_1,-41.10879516300001
patient_096_node_3,-40.550651549600005
patient_095_node_0,-38.757210180099996
patient_091_node_2,-38.233062832999984
patient_080_node_3,-37.933715805000006
patient_093_node_2,-33.92059331999999
patient_088_node_2,-33.384796163
patient_093_node_0,-33.24414066000002
patient_097_node_0,-32.81994629
patient_096_node_4,-30.81692504199999
patient_051_node_1,-30.377014086000003
patient_098_node_2,-30.203918484
patient_099_node_1,-28.74003599400001
patient_093_node_1,-26.53942877500001
patient_097_node_4,-25.592956700000006
patient_085_node_4,-25.325378431
patient_051_node_2,-24.133025942000003
patient_094_node_2,-22.406951834000004
patient_056_node_4,-21.63346385459999
patient_097_node_1,-19.358856130000007
patient_073_node_2,-17.663803054999995
patient_084_node_2,-16.627441393000016
patient_080_node_1,-14.800415067000003
patient_058_node_0,-12.548461991000003
patient_090_node_1,-11.19666830474001
patient_055_node_0,-8.049369148409996
patient_059_node_1,-6.7702838124900016
patient_029_node_1,-5.901977559999998
patient_059_node_4,-3.1043243080999994
patient_099_node_4,-2.046508879999994
patient_022_node_1,-1.6990966399999994
patient_013_node_0,-1.6607666759999984
patient_083_node_3,-0.7913131373
patient_090_node_4,1.0916747460000007
patient_039_node_1,1.4666748900000048
patient_070_node_3,1.91888424
patient_080_node_2,2.868286170000001
patient_056_node_2,3.9452667450000005
patient_017_node_2,5.164062470000002
patient_012_node_3,6.235839889999999
patient_075_node_0,9.402465789999997
patient_056_node_0,9.437744163999996
patient_016_node_0,10.009521429999998
patient_022_node_2,10.66467286
patient_057_node_1,11.028625423999998
patient_015_node_3,11.104980459999997
patient_072_node_2,11.376770025
patient_014_node_3,11.59228514
patient_095_node_3,11.754882870000003
patient_043_node_1,11.868774460000003
patient_020_node_1,12.09020997
patient_033_node_3,12.457046498000002
patient_075_node_4,12.54260252
patient_076_node_3,13.386230470000003
patient_029_node_2,13.49700925
patient_072_node_3,13.861572239999997
patient_012_node_4,14.603881900000005
patient_015_node_1,15.775512740000007
patient_075_node_3,16.878662119999998
patient_033_node_0,16.879638640000007
patient_014_node_0,17.920166060000007
patient_070_node_2,18.522216820000008
patient_013_node_3,19.20202638
patient_017_node_0,19.36755368000001
patient_077_node_3,19.5476075
patient_072_node_1,20.01342773
patient_073_node_0,20.104492130000008
patient_056_node_3,21.865234349000005
patient_039_node_3,21.91613771
patient_015_node_0,22.471801720000002
patient_016_node_1,22.521606560000013
patient_012_node_0,23.016723604999996
patient_033_node_1,24.23376464
patient_033_node_4,24.275024390000006
patient_082_node_3,24.400268560000004
patient_022_node_0,24.79638665000001
patient_077_node_0,25.110473479999992
patient_077_node_2,25.999633859999996
patient_073_node_3,27.564697260000003
patient_075_node_2,27.959960919999997
patient_098_node_1,29.818954517999988
patient_054_node_2,29.97424321999999
patient_014_node_2,30.490722690000002
patient_057_node_2,31.203077343500006
patient_072_node_4,31.216674849999997
patient_066_node_4,31.467102059999995
patient_054_node_4,33.054565370000006
patient_073_node_1,33.272705044000006
patient_013_node_4,33.47094729000001
patient_055_node_2,33.872428920600015
patient_016_node_4,34.00830079000001
patient_015_node_2,34.897338860000005
patient_054_node_0,34.99951157999998
patient_065_node_1,36.51306152000002
patient_054_node_1,37.61474598000001
patient_065_node_0,38.82092287999998
patient_055_node_1,39.453308230000005
patient_018_node_2,40.160095180000006
patient_056_node_1,40.491943299999996
patient_053_node_1,40.911316029999995
patient_070_node_0,41.66149910999999
patient_034_node_0,42.70043947000001
patient_065_node_4,42.831054599999995
patient_012_node_2,44.404663190000015
patient_043_node_2,44.62524419000001
patient_076_node_2,44.710083129999994
patient_020_node_2,45.09088136000006
patient_020_node_3,45.86572249
patient_034_node_3,46.349487365
patient_018_node_0,48.11639410500003
patient_013_node_2,50.06469721999997
patient_058_node_3,50.86730941999999
patient_059_node_0,51.15441885600003
patient_057_node_4,53.550414999999965
patient_077_node_4,54.20129386
patient_076_node_4,54.57446287
patient_017_node_4,58.62036135000002
patient_013_node_1,58.96002195
patient_058_node_1,66.6644744
patient_066_node_0,69.10559087999995
patient_043_node_4,70.57751477
patient_053_node_0,71.87874771479994
patient_057_node_0,81.06677246999996
patient_053_node_3,82.42883284599998
patient_065_node_2,83.56896970000005
patient_020_node_0,83.65490730999997
